id	title	author	category	lyrics
LS_1	DI HADAPAN HADIRAT-MU	LS	Lagu Sion	"Di hadapan hadirat -Mu
Kami umat-Mu menyembah
Mengakui Engkau Tuhan
Allah kekal, Maha kuasa

Dari debu dan tanahlah
kita dijadikan Tuhan
Dan bila tersesat kita
Tuhan tak akan tinggalkan

Kuasa serta kasih Allah
Memenuhi seg’nap dunia
Tetap teguhlah firman-Nya
Hingga penuh hadirat-Nya

Di pintu Surga yang suci
menyanyi beribu lidah
Pada Tuhan kita puji
Sekarang dan selamanya"
LS_2	HAI SEG’NAP CIPTAAN TUHAN	LS	Lagu Sion	"Hai seg’nap ciptaan Tuhan
Nyanyikan lagu pujian
Puji Tuhan, Haleluya
Pancaran sinar mentari
Cahaya bulan berseri

Puji Tuhan, Puji Tuhan
Haleluya, haleluya, haleluya

Desiran angin menghembus
Awan bergulung menembus
Puji Tuhan, Haleluya
Di kala fajar merekah
Dan waktu senja nyanyilah

Aliran air yang jernih
Menyanyikan lagu kasih
Puji Tuhan, Haleluya
Bagai api yang membara
Dan menghangatkan udara

Sembah sujudlah pada-Nya
Datang dan t’rima berkat-Nya
Puji Tuhan, Haleluya
Puji Bapa dan Putra-Nya
Puji Roh Kudus, serta-Nya"
LS_3	TUHAN ALLAH HADIR	LS	Lagu Sion	"Tuhan Allah hadir pada saat ini
Hai sembah sujud di sini
Diam dengan hormat, tubuh serta jiwa
Tunduklah menghadap Dia
Marilah umat-Nya, Dalam kerendahan
Hatimu serahkan

Tinggallah sertaku, Biarlah jiwaku
Jadi bait suci di bumi
Masuklah Roh Kudus, Ke dalam hatiku
B’ri hormat, kasih dan puji
Ke mana ku-pergi, Merendahkan hati
Pada-Mu memuji

Dengan sukacita, Ku-buang dosaku
Harta dan keangkuhanku
Jiwa dan ragaku, Sembahkan pada-Mu
Dengan sepenuh hatiku
Engkaulah Tuhanku, Hanya Engkau saja
Jalanku ke surga"
LS_4	PUJI TUHAN ALLAH	LS	Lagu Sion	"Puji Tuhan Dia Allah
Khalik alam semesta
Hai jiwaku Puji Dia
Yang b’ri-ku kes’lamatan
Dengarkanlah Datanglah
Ke takhta-Nya
Puji dengan kesukaan

Puji Tuhan Yang ajaib
Serta berkuasa
Perlindungan dan pengampunanmu
Dib’rikan-Nya
Tidakkah kau
Merasa kasih-Nya
Yang dikaruniakan-Nya

Puji Tuhan, yang memb'ri damai
dan sejahtera
Kebajikan dan kemurahan
dijanjikan-Nya
Kasih Allah s'lalu baru
dan mulia
Dia Sahabat setia"
LS_5	KASIH SURGA YANG TERINDAH	LS	Lagu Sion	"Kasih surga yang terindah
Turunlah pada kami
Dalam kami bertakhtalah
Dan sucikanlah hati
Yesus Engkau berkasihan
Kasih-Mu tak terduga
Marilah dan berk’rajaan
Dalam hati yang bers’rah

Hembuskanlah Roh kudus
Dalam hati yang duka
Ya Jurus’lamat yang tulus
B’ri kedamaian jiwa
Engkau Tuhan berkuasa
Awal dan akhir iman
Buangkan dosa dari jiwa
B'rikanlah kemenangan

Engkaulah yang berkuasa
Melepaskan umat-Mu
Curahkan rahmat berlimpah
Kuduskanlah umat-Mu
Pada-Mu kami berbakti
Oleh kemurahan-Mu
Kami tak akan berhenti
Memuliakan Nama-Mu

Jadikanlah kami baru
Sempurna dalam Yesus
S’lamatlah oleh kasih-Mu
Dari mati dan dosa
Kami k’lak tiba di surga
Dalam neg’ri yang mulia
Kami k’lak trima mahkota
Dan pandang wajah Yesus"
LS_6	TUHAN RAJA DI SION	LS	Lagu Sion	"Tuhan Raja di Sion
Soraklah hai dunia
Datang ke takhta rahmat-Nya
Dengan sukacita
Tuhan Raja di Sion
Mari puji Dia
Semua Raja menyembah
Muliakan nama-Nya

Tuhan Raja di Sion
Siapa s’perti Dia?
Relung bumi ditangan-Nya
Lautan dip’rintah-Nya
Muliakan nama-Nya
Dan angkat panji-Nya
Kes’lamatan-Nya tersedia
Bagi siapa saja

Tuhan Raja di Sion,
Di segala zaman
Masuklah ke bait Tuhan
Dengan sukacita
Dan di bawah panji-Nya
Manusia menyembah
Muliakan Khalik semensta
Pujilah Sang Raja"
LS_7	KITA BERHIMPUN	LS	Lagu Sion	"Kita berhimpun memohon berkat Tuhan
Dan sedia melakukan kehendak-Nya
Berakhirlah sudah s’gala pergumulan
Diingat-Nya kita, puji Nama-Nya

Dengan setia kita dipimpin Tuhan
Mengukuhkan k’rajaan-Nya yang suci
Kita pasti menang, dalam peperangan
Tuhan yang menjaga dan mengasihi

Terpujilah Engkau, Pemimpin yang teguh
Engkau Tuhan, benteng perlindunganku
Hingga aku lepas dari tangan musuh
Ku puji Nama-Mu, ya Penebusku"
LS_8	SEMBAHLAH TUHAN	LS	Lagu Sion	"Sembahlah TUHAN, Ia-lah yang mahasuci
Tunduk di hadapan-Nya yang mulia
Turutlah printah-Nya dan rendahkanlah hati
Sembah Tuhan, sujud pada-Nya

Bawa bebanmu dan letakkan di kaki-Nya
Ia mau pikul semua bagimu
Engkau dihibur-Nya, doamu dijawab-Nya
Dan s’lalu pimpin setiap langkahmu

Janganlah takut datanglah ke hadirat-Nya
Meski pun engkau miskin dan hina
Hanyalah percaya, b’ri hatimu pada-Nya
Itulah korban yang diminta-Nya

Meski tak layak kar’na besarlah dosamu
Ia mau t’rima karna kasih-Nya
Sukacita dib’ri gantikan air matamu
Harap pada-Nya, tetap percaya"
LS_9	HAI KRISTEN NYANYILAH	LS	Lagu Sion	"Hai Kristen nyanyilah, Haleluya! Amin
Puji Kristus Raja, Haleluya Amin!
Dengan seg’nap hati, Gembira menyanyi
Pujilah rahmat-Nya, Haleluya, Amin!

Angkatlah hatimu, Haleluya! Amin
Penuhi angkasa, Haleluya! Amin!
Tuhan Sahabatmu, Tinggal bersamamu
Abadi kasih-Nya, Haleluya, Amin!

Hai pujilah Raja, Haleluya! Amin
Tak henti memuja, Haleluya, Amin!
Di pantai surgawi, Rahmat-Nya dipuji
Nyanyi tiada henti, Haleluya, Amin!"
LS_10	BETAPA TEGUHNYA	LS	Lagu Sion	"Betapa teguhnya, hai umat Tuhan
Dasar imanmu pada Sabda Allah
Janjinya tetap dan tak akan lalu
Yang datang pada-Nya dilindung tentu
Yang datang pada-Nya dilindung tentu

Hai janganlah takut, Aku sertamu
Akulah Allah yang menolong kamu
Padamu kub’rikan kekuatan-Ku
Kebenaran Tuhan mengangkat kamu
Kebenaran Tuhan mengangkat kamu

Pada waktu susah, Ku hibur engkau
Bila bebanmu b’rat Ku kuatkan engkau
Aku besertamu, memberkatimu
Menyucikan kamu dalam hidupmu
Menyucikan kamu dalam hidupmu

Di dalam derita dan pencobaan
Limpahlah kasih karunia kub’rikan
Api pencobaan pasti membantu
Membersihkan dosa, sucikan hati
Membersihkan dosa sucikan hati

Jiwa yang berlindung kepada Tuhan
Tak akan, tak akan Tuhan biarkan
Meskipun banyak musuh yang menyerang
Tak pernah, tak pernah Tuhan tinggalkan
Tak pernah, tak pernah Tuhan tinggalkan"
