"songId"	"title"	"author"	"category"	"segment1"	"segment2"	"segment3"	"segment4"	"segment5"	"segment6"	"segment7"	"segment8"
"SDAH_1"	"1. Praise to the Lord"	"Joachim Neander (1650 - 1680); Choral Book for England, 1863"	"SDA Hymnal (SDAH)"	"Praise to the Lord, the Almighty, the King of creation!
O my soul, praise Him, for He is thy health and salvation!
All ye who hear,
Now to His temple draw near;
Join ye in glad adoration!"	"Praise to the Lord, who o'er all things so wondrously reigneth,
Shieldeth thee under His wings, yea, so gently sustaineth!
Hast thou not seen
How thy desires e'er have been
Granted in what He ordaineth?"	"Praise to the Lord, who doth prosper thy work and defend thee;
Surely His goodness and mercy here daily attend thee.
Ponder anew
What the Almighty can do
If with His love He befriend thee."	""	""	""	""	""
"SDAH_2"	"2. All Creatures of Our God and King"	"Francis of Assisi, 1225 (1182 - 1226); Geistliche Kirchengesänge, Köln, 1623"	"SDA Hymnal (SDAH)"	"All creatures of our God and King,
Lift up your voice with us and sing:
Alleluia! Alleluia!
O burning sun with golden beam
And silver moon with softer gleam:"	"Oh, praise Him! Oh, praise Him!
Alleluia, alleluia, alleluia!"	"O rushing wind and breezes soft,
O clouds that ride the winds aloft:
Oh, praise Him! Alleluia!
O rising morn, in praise rejoice,
O lights of evening, find a voice."	"O flowing waters, pure and clear,
Make music for your Lord to hear.
Oh, praise Him! Alleluia!
O fire so masterful and bright,
Providing us with warmth and light,"	"Let all things their Creator bless,
And worship Him in humbleness,
Oh, praise Him! Alleluia!
Oh, praise the Father, praise the Son,
And praise the Spirit, three in One!"	""	""	""
"SDAH_3"	"3. God Himself Is With Us"	"Gerhard Tersteegen, 1729; Joachim Neander, 1680 (1650 - 1680)"	"SDA Hymnal (SDAH)"	"God Himself is with us; Let us all adore Him,
And with awe appear before Him.
God is here within us; Soul, in silence fear Him,
Humbly, fervently draw near Him.
Now His own who have known God, in worship lowly,
Yield their spirits wholly."	"Come, abide within me; Let my soul, like Mary,
Be Thine earthly sanctuary.
Come, in-dwelling Spirit, With transfigured splendor;
Love and honor will I render.
Where I go here below, Let me bow before Thee,
Know Thee and adore Thee."	"Gladly we surrender Earth's deceitful treasures,
Pride of life and sinful pleasures:
Gladly, Lord, we offer Thine to be forever,
Soul and life and each endeavor.
Thou alone shalt be known Lord of all our being,
Life's true way decreeing."	""	""	""	""	""
"SDAH_4"	"4. Praise My Soul, the King of Heaven"	"Henry Francis Lyte (1793 - 1847); John Goss (1800 - 1880)"	"SDA Hymnal (SDAH)"	"Praise, my soul, the King of heaven;
To His feet thy tribute bring;
Ransomed, healed, restored, forgiven,
Who like thee His praise should sing?
Praise Him, praise Him, alleluia,
Praise the everlasting King."	"Praise Him for His grace and favor
To our fathers in distress;
Praise Him, still the same forever,
Slow to chide and swift to bless;
Praise Him, praise Him, alleluia
Glorious in His faithfulness."	"Tenderly He shields and spares us;
Well our feeble frame He knows;
In His hands He gently bears us,
Rescues us from all our foes:
Praise Him, praise Him, alleluia,
Widely as His mercy flows."	"Angels, help us to adore Him:
Ye behold Him face to face;
Sun and moon bow down before Him:
Dwellers all in time and space,
Praise Him, praise Him, alleluia,
Praise with us the God of grace."	""	""	""	""
"SDAH_5"	"5. All My Hope on God Is Founded"	"Joachim Neander (1650 - 1680); Herbert Howells, 1936 (1892 - 1983)"	"SDA Hymnal (SDAH)"	"All my hope on God is founded;
He doth still my trust renew,
Me through change and chance He guideth,
Only good and only true.
God unknown, He alone
Calls my heart to be His own."	"Pride of man and earthly glory,
Sword and crown betray his trust;
What with care and toil he buildeth,
Tower and temple fall to dust.
But God's power, hour by hour,
Is my temple and my tower."	"God's great goodness aye endureth,
Deep His wisdom, passing thought;
Splendor, light and life attend Him,
Beauty springeth out of naught.
Love doth stand at His hand;
Joy doth wait on His command."	"Still from man to God eternal
Sacrifice of praise be done,
High above all praises praising
For the gift of Christ His Son.
Christ doth call one and all:
Ye who follow shall not fall."	""	""	""	""
"SDAH_6"	"6. O Worship the Lord"	"John S. B. Monsell (1811 - 1875); Edwin Barnes, 1886 (1864 - 1930)"	"SDA Hymnal (SDAH)"	"O worship the Lord in the beauty of holiness,
Bow down before Him, His glory proclaim;
With gold of obedience, and incense of lowliness,
Kneel and adore Him; the Lord is His name."	"Low at His feet lay thy burden of carefulness,
High on His heart He will bear it for thee,
Comfort thy sorrows and answer thy prayerfulness,
Guiding thy steps as may best for thee be."	"Fear not to enter His courts in the slenderness
Of the poor wealth thou wouldst reckon as thine.
Truth in its beauty and love in its tenderness,
These are the offerings to lay on His shrine."	"These, though we bring them in trembling and fearfulness,
He will accept for the name that is dear;
Mornings of joy give for evenings of tearfulness,
Trust for our trembling, and hope for our fear."	""	""	""	""
"SDAH_7"	"7. The Lord in Zion Reigneth"	"Fanny J. Crosby (1820 - 1915); Hart P. Danks (1834 - 1903)"	"SDA Hymnal (SDAH)"	"The Lord in Zion reigneth,
Let all the world rejoice,
And come before His throne of grace
With tuneful heart and voice;
The Lord in Zion reigneth,
And there His praise shall ring,
To Him shall princes bend the knee
And kings their glory bring."	"The Lord in Zion reigneth,
And who so great as He?
The depths of earth are in His hands;
He rules the mighty sea.
O crown His Name with honor,
And let His standard wave,
Till distant isles beyond the deep
Shall own His power to save."	"The Lord in Zion reigneth,
These hours to Him belong;
O enter now His temple gates,
And fill His courts with song;
Beneath His royal banner
Let every creature fall,
Exalt the King of heaven and earth,
And crown Him Lord of all."	""	""	""	""	""
"SDAH_8"	"8. We Gather Together"	"Anonymous, 1625"	"SDA Hymnal (SDAH)"	"We gather together to ask the Lord's blessing;
He chastens and hastens His will to make known;
The wicked oppressing now cease from distressing,
Sing praises to His Name; He forgets not His own."	"Beside us to guide us, our God with us joining,
Ordaining, maintaining His kingdom divine;
So from the beginning the fight we were winning;
Thou, Lord, wast at our side; all glory be Thine!"	"We all do extol Thee, Thou Leader triumphant,
And pray that Thou still our Defender wilt be.
Let Thy congregation escape tribulation;
Thy name be ever praised! O Lord, make us free!"	""	""	""	""	""
"SDAH_9"	"9. Let All the World in Every Corner Sing"	"George Herbert (1593 - 1632); Basil Harwood (1859 - 1949)"	"SDA Hymnal (SDAH)"	"Let all the world in every corner sing,
My God and King!
The heavens are not too high,
His praise may thither fly;
The earth is not too low,
His praises there may grow.
Let all the world in every corner sing,
My God and King!"	"Let all the world in every corner sing,
My God and King!
The church with psalms must shout,
No door can keep them out;
But, above all, the heart
Must bear the longest part.
Let all the world in every corner sing, My God and King!"	""	""	""	""	""	""
"SDAH_10"	"10. Come, Christians, Join to Sing"	"Christian Henry Bateman (1813 - 1889)"	"SDA Hymnal (SDAH)"	"Come Christians, join to sing,
Alleluia! Amen!
Loud praise to Christ our King;
Alleluia! Amen!
Let all, with heart and voice,
Before His throne rejoice;
Praise is His gracious choice:
Alleluia! Amen!"	"Come, lift your hearts on high;
Alleluia! Amen!
Let praises fill the sky;
Alleluia! Amen!
He is our Guide and Friend;
To us He'll condescend;
His love shall never end:
Alleluia! Amen!"	"Praise yet our Christ again;
Alleluia! Amen!
Life shall not end the strain;
Alleluia! Amen!
On heaven's blissful shore
His goodness we'll adore,
Singing forevermore,
Alleluia! Amen!"	""	""	""	""	""
"SDAH_11"	"11. The God of Abraham Praise"	"Thomas Olivers, c. 1770 (1725 - 1799)"	"SDA Hymnal (SDAH)"	"The God of Abraham praise,
Who reigns enthroned above;
Ancient of everlasting days,
And God of love;
Jehovah! Great I AM!
By earth and heaven confessed;
I bow and bless the sacred name,
Forever blest."	"The God of Abraham praise,
At whose supreme command
From earth I rise, and seek the joys
At His right hand;
I all on earth forsake,
Its wisdom, fame, and power;
And Him my only portion make,
My shield and tower."	"The whole triumphant host
Give thanks to God on high;
""Hail, Father, Son, and Holy Ghost!""
They ever cry;
Hail, Abraham's God and mine!
I join the heavenly lays;
All might and majesty are Thine,
And endless praise."	""	""	""	""	""
"SDAH_12"	"12. Joyful, Joyful, We Adore Thee"	"Henry van Dyke, 1907 (1852 - 1933); Ludwig van Beethoven, 1824 (1770 - 1827)"	"SDA Hymnal (SDAH)"	"Joyful, joyful, we adore Thee,
God of glory, Lord of love;
Hearts unfold like flow'rs before Thee,
Hail Thee as the sun above.
Melt the clouds of sin and sadness,
Drive the dark of doubt away;
Giver of immortal gladness,
Fill us with the light of day!"	"All Thy works with joy surround Thee,
Earth and heav'n reflect Thy rays,
Stars and angels sing around Thee,
Center of unbroken praise;
Field and forest, vale and mountain,
Bloss'ming meadow, flashing sea,
Chanting bird and flowing fountain
Call us to rejoice in Thee."	"Thou art giving and forgiving,
Ever blessing, ever blest,
Well-spring of the joy of living,
Ocean-depth of happy rest!
Thou the Father, Christ our Brother —
All who live in love are Thine:
Teach us how to love each other,
Lift us to the joy divine."	""	""	""	""	""
"SDAH_13"	"13. New Songs of Celebration Render"	""	"SDA Hymnal (SDAH)"	"New songs of celebration render
To Him who has great wonders done.
Love sits enthroned in ageless splendor:
Come, and adore the mighty One.
He has made known His great salvation
Which all His friends with joy confess:
He has revealed to every nation
His everlasting righteousness."	"Joyfully, heartily resounding,
Let every instrument and voice
Peal out the praise of grace abounding,
Calling the whole world to rejoice.
Trumpets and organs, set in motion
Such sounds as make the heavens ring;
All things that live in earth and ocean,
Make music for your mighty King."	"Rivers and seas and torrents roaring,
Honor the Lord with wild acclaim;
Mountains and stones look up adoring,
And find a voice to praise His name.
Righteous, commanding, ever glorious,
Praises be His that never cease:
Just is our God, whose truth victorious
Establishes the world in peace."	""	""	""	""	""
"SDAH_14"	"14. Let Us Praise the Name of the Lord"	"Ursula Schlenker, 1949 (1930 - ); Alfred Stier, 1949 (1880 - 1967)"	"SDA Hymnal (SDAH)"	"Let us praise the name of the Lord!
Give Him glory, Amen.
Amen, amen,
Amen, amen."	"Go ye into all the world,
Alleluia, Amen.
Amen, amen,
Amen, amen."	""	""	""	""	""	""
"SDAH_15"	"15. My Maker and My King"	"Anne Steele (1716 - 1778)"	"SDA Hymnal (SDAH)"	"My Maker and my King,
To Thee my all I owe;
Thy sovereign bounty is the spring
Whence all my blessings flow;
Thy sovereign bounty is the spring
Whence all my blessings flow."	"The creature of Thy hand,
On Thee alone I live;
My God, Thy benefits demand
More praise than I can give.
My God, Thy benefits demand
More praise than I can give."	"Lord, what can I impart
When all is Thine before?
Thy love demands a thankful heart;
The gift, alas! how poor.
Thy love demands a thankful heart;
The gift, alas! how poor."	"O! let Thy grace inspire
My soul with strength divine;
Let every word and each desire
And all my days be Thine.
Let every word and each desire
And all my days be Thine."	""	""	""	""
"SDAH_16"	"16. All People That on Earth Do Dwell"	"William Kethe (? - c. 1593); Louis Bourgeois, 1551 (c. 1510 - 1561)"	"SDA Hymnal (SDAH)"	"All people that on earth do dwell,
Sing to the Lord with cheerful voice;
Him serve with mirth, His praise forth tell,
Come ye before Him and rejoice."	"Know that the Lord is God indeed;
Without our aid He did us make;
We are His folk, He doth us feed,
And for his sheep He doth us take."	"O enter then His gates with praise,
Approach with joy His courts unto;
Praise, laud, and bless His name always,
For it is seemly so to do."	"For why the Lord our God is good,
His mercy is forever sure;
His truth at all times firmly stood,
And shall from age to age endure."	""	""	""	""
"SDAH_17"	"17. Lord of All Being, Throned Afar"	""	"SDA Hymnal (SDAH)"	"Lord of all being, throned afar,
Thy glory flames from sun and star;
Center and soul of every sphere,
Yet to each loving heart how near!
Yet to each loving heart how near!"	"Sun of our life, Thy quickening ray
Shed on our path the glow of day;
Star of our hope, Thy softened light
Cheers the long watches of the night,
Cheers the long watches of the night."	"Our midnight is Thy smile withdrawn;
Our noontide is Thy gracious dawn;
Our rainbow arch, Thy mercy's sign;
All, save the clouds of sin, are Thine,
All, save the clouds of sin, are Thine."	"Lord of all life, below, above,
Whose light is truth, whose warmth is love,
Before Thy ever-blazing throne
We ask no luster of our own,
We ask no luster of our own."	"Grant us Thy truth to make us free,
And kindling hearts that burn for Thee;
Till all Thy living altars claim
One holy light, one heavenly flame!
One holy light, one heavenly flame."	""	""	""
"SDAH_18"	"18. O Morning Star, How Fair and Bright"	""	"SDA Hymnal (SDAH)"	"O Morning Star, how fair and bright!
You shine with God's own truth and light,
Aglow with grace and mercy!
Of Jacob's race, King David's Son,
Our Lord and Master, You have won
Our hearts to serve You only!
Lowly, holy!
Great and glorious, all victorious,
Rich in blessing!
Rule and might o'er all possessing!"	"Lord, when You look on us in love,
At once there falls from God above
A ray of purest pleasure.
Your Word and Spirit, flesh and blood
Refresh our souls with heav'nly food.
You are our dearest treasure!
Let Your mercy
Warm and cheer us! O draw near us!
For You teach us
God's own love through You has reached us."	"Almighty Father, in Your Son
You loved us, when not yet begun
Was this old earth's foundation!
Your Son has ransomed us in love
To live in Him here and above:
This is Your great salvation.
Alleluia!
Christ the living, to us giving
Life forever,
Keeps us Yours and fails us never!"	"O let the harps break forth in sound!
Our joy be all with music crowned,
Our voices gaily blending!
For Christ goes with us all the way —
Today, tomorrow, every day!
His love is never ending!
Sing out! ring out!
Jubilation! exultation!
Tell the story!
Great is He, the King of glory!"	""	""	""	""
"SDAH_19"	"19. O Sing a New Song to the Lord"	""	"SDA Hymnal (SDAH)"	"O sing a new song to the Lord
For marvels He has done;
His right hand and His holy arm
The victory have won."	"With harp, with harp and voice of psalms
Unto Jehovah sing;
Let trumpets and the echoing horn
Acclaim the Lord our King!"	"Let seas with all their creatures roar,
The world and dwellers there,
And let the rivers clap their hands,
The hills their joy declare."	"Before the Lord: because He comes,
To judge the earth comes He;
He'll judge the world with righteousness,
His folk with equity."	""	""	""	""
"SDAH_20"	"20. O Praise Ye the Lord"	""	"SDA Hymnal (SDAH)"	"O praise ye the Lord!
Praise Him in the height;
Rejoice in His word,
Ye angels of light;
Ye heavens, adore Him
By whom ye were made,
And worship before Him,
In brightness arrayed."	"O praise ye the Lord!
Praise Him upon earth,
In tuneful accord:
Ye sons of new birth;
Praise Him who hath brought you
His grace from above,
Praise Him who hath taught you
To sing of His love."	"O praise ye the Lord,
All things that give sound;
Each jubilant chord,
Re-echo around;
Loud organs His glory
Forth tell in deep tone,
And sweet harp, the story
Of what He hath done."	"O praise ye the Lord!
Thanksgiving and song
To Him be out-poured
All ages along:
For love in creation,
For heaven restored.
For grace of salvation,
O praise ye the Lord!"	""	""	""	""
"SDAH_21"	"21. Immortal, Invisible, God Only Wise"	""	"SDA Hymnal (SDAH)"	"Immortal, invisible, God only wise,
In light inaccessible hid from our eyes,
Most blessed, most glorious, the Ancient of days,
Almighty, victorious, Thy great name we praise."	"Unresting, unhasting, and silent as light,
Nor wanting, nor wasting, Thou rulest in might;
Thy justice, like mountains high soaring above
Thy clouds, which are fountains of goodness and love."	"To all life Thou givest to both great and small;
In all life Thou livest, the true life of all;
We blossom and flourish, like leaves on the tree,
Then wither and perish; but naught changeth Thee."	"Great Father of glory, pure Father of light,
Thine angels adore Thee, all veiling their sight;
All laud we would render: O help us to see
'Tis only the splendor of light hideth Thee."	""	""	""	""
