segmentId	songId	label	text	order
LSEB_5_s0	LSEB_5	Bait 1	Kasih surga yang terindah \nTurunlah pada kami \nDalam kami bertakhtalah \nDan sucikanlah hati \nYesus Engkau berkasihan \nKasih-Mu tak terduga \nMarilah dan berk’rajaan \nDalam hati yang bers’rah	
LSEB_5_s1	LSEB_5	Bait 2	Hembuskanlah Roh kudus \nDalam hati yang duka \nYa Jurus’lamat yang tulus \nB’ri kedamaian jiwa \nEngkau Tuhan berkuasa \nAwal dan akhir iman \nBuangkan dosa dari jiwa \nB'rikanlah kemenangan	
LSEB_5_s2	LSEB_5	Bait 3	Engkaulah yang berkuasa \nMelepaskan umat-Mu \nCurahkan rahmat berlimpah \nKuduskanlah umat-Mu \nPada-Mu kami berbakti \nOleh kemurahan-Mu \nKami tak akan berhenti \nMemuliakan Nama-Mu	
LSEB_5_s3	LSEB_5	Bait 4	Jadikanlah kami baru \nSempurna dalam Yesus \nS’lamatlah oleh kasih-Mu \nDari mati dan dosa \nKami k’lak tiba di surga \nDalam neg’ri yang mulia \nKami k’lak trima mahkota \nDan pandang wajah Yesus	
LSEB_6_s0	LSEB_6	Bait 1	Tuhan Raja di Sion \nSoraklah hai dunia \nDatang ke takhta rahmat-Nya \nDengan sukacita \nTuhan Raja di Sion \nMari puji Dia \nSemua Raja menyembah \nMuliakan nama-Nya	
LSEB_6_s1	LSEB_6	Bait 2	Tuhan Raja di Sion \nSiapa s’perti Dia? \nRelung bumi ditangan-Nya \nLautan dip’rintah-Nya \nMuliakan nama-Nya \nDan angkat panji-Nya \nKes’lamatan-Nya tersedia \nBagi siapa saja	
LSEB_6_s2	LSEB_6	Bait 3	Tuhan Raja di Sion, \nDi segala zaman \nMasuklah ke bait Tuhan \nDengan sukacita \nDan di bawah panji-Nya \nManusia menyembah \nMuliakan Khalik semensta \nPujilah Sang Raja	
LSEB_7_s0	LSEB_7	Bait 1	Kita berhimpun memohon berkat Tuhan \nDan sedia melakukan kehendak-Nya \nBerakhirlah sudah s’gala pergumulan \nDiingat-Nya kita, puji Nama-Nya	
LSEB_7_s1	LSEB_7	Bait 2	Dengan setia kita dipimpin Tuhan \nMengukuhkan k’rajaan-Nya yang suci \nKita pasti menang, dalam peperangan \nTuhan yang menjaga dan mengasihi	
LSEB_7_s2	LSEB_7	Bait 3	Terpujilah Engkau, Pemimpin yang teguh \nEngkau Tuhan, benteng perlindunganku \nHingga aku lepas dari tangan musuh \nKu puji Nama-Mu, ya Penebusku	
LSEB_8_s0	LSEB_8	Bait 1	Sembahlah TUHAN, Ia-lah yang mahasuci \nTunduk di hadapan-Nya yang mulia \nTurutlah printah-Nya dan rendahkanlah hati \nSembah Tuhan, sujud pada-Nya	
LSEB_8_s1	LSEB_8	Bait 2	Bawa bebanmu dan letakkan di kaki-Nya \nIa mau pikul semua bagimu \nEngkau dihibur-Nya, doamu dijawab-Nya \nDan s’lalu pimpin setiap langkahmu	
LSEB_8_s2	LSEB_8	Bait 3	Janganlah takut datanglah ke hadirat-Nya \nMeski pun engkau miskin dan hina \nHanyalah percaya, b’ri hatimu pada-Nya \nItulah korban yang diminta-Nya	
LSEB_8_s3	LSEB_8	Bait 4	Meski tak layak kar’na besarlah dosamu \nIa mau t’rima karna kasih-Nya \nSukacita dib’ri gantikan air matamu \nHarap pada-Nya, tetap percaya	
LSEB_9_s0	LSEB_9	Bait 1	Hai Kristen nyanyilah, Haleluya! Amin \nPuji Kristus Raja, Haleluya Amin! \nDengan seg’nap hati, Gembira menyanyi \nPujilah rahmat-Nya, Haleluya, Amin!	
LSEB_9_s1	LSEB_9	Bait 2	Angkatlah hatimu, Haleluya! Amin \nPenuhi angkasa, Haleluya! Amin! \nTuhan Sahabatmu, Tinggal bersamamu \nAbadi kasih-Nya, Haleluya, Amin!	
LSEB_9_s2	LSEB_9	Bait 3	Hai pujilah Raja, Haleluya! Amin \nTak henti memuja, Haleluya, Amin! \nDi pantai surgawi, Rahmat-Nya dipuji \nNyanyi tiada henti, Haleluya, Amin!	
LSEB_10_s0	LSEB_10	Bait 1	Betapa teguhnya, hai umat Tuhan \nDasar imanmu pada Sabda Allah \nJanjinya tetap dan tak akan lalu \nYang datang pada-Nya dilindung tentu \nYang datang pada-Nya dilindung tentu	
LSEB_10_s1	LSEB_10	Bait 2	Hai janganlah takut, Aku sertamu \nAkulah Allah yang menolong kamu \nPadamu kub’rikan kekuatan-Ku \nKebenaran Tuhan mengangkat kamu \nKebenaran Tuhan mengangkat kamu	
LSEB_10_s2	LSEB_10	Bait 3	Pada waktu susah, Ku hibur engkau \nBila bebanmu b’rat Ku kuatkan engkau \nAku besertamu, memberkatimu \nMenyucikan kamu dalam hidupmu \nMenyucikan kamu dalam hidupmu	
LSEB_10_s3	LSEB_10	Bait 4	Di dalam derita dan pencobaan \nLimpahlah kasih karunia kub’rikan \nApi pencobaan pasti membantu \nMembersihkan dosa, sucikan hati \nMembersihkan dosa sucikan hati	
LSEB_10_s4	LSEB_10	Bait 5	Jiwa yang berlindung kepada Tuhan \nTak akan, tak akan Tuhan biarkan \nMeskipun banyak musuh yang menyerang \nTak pernah, tak pernah Tuhan tinggalkan \nTak pernah, tak pernah Tuhan tinggalkan	
