songId	title	author	category	key	beat	version
LSEB_1	1. Di Hadapan Hadirat-Mu	Isaac Watts	PUJIAN	D	4/4	Lagu Sion Edisi Lengkap (LSEB)
LSEB_2	2. Hai Seg’Nap Ciptaan Tuhan	Francis of assisi		D	3/2	Lagu Sion Edisi Lengkap (LSEB)
LSEB_3	3. Tuhan Allah Hadir	Gerhand Tersteegen		G	2/2	Lagu Sion Edisi Lengkap (LSEB)
LSEB_4	4. Puji Tuhan Allah	Joachim Neander		F	3/4	Lagu Sion Edisi Lengkap (LSEB)
LSEB_5	5. Kasih Surga Yang Terindah	Charles Wesley				Lagu Sion Edisi Lengkap (LSEB)
LSEB_6	6. Tuhan Raja Di Sion	Fanny J. Crosby				Lagu Sion Edisi Lengkap (LSEB)
LSEB_7	7. Kita Berhimpun	Theodore Baker				Lagu Sion Edisi Lengkap (LSEB)
LSEB_8	8. Sembahlah Tuhan	J. S. B Monsell				Lagu Sion Edisi Lengkap (LSEB)
LSEB_9	9. Hai Kristen Nyanyilah	Christian Henry Bateman				Lagu Sion Edisi Lengkap (LSEB)
LSEB_10	10. Betapa Teguhnya	Rippson Selection				Lagu Sion Edisi Lengkap (LSEB)
LSEB_11	11. Dengan Riang Kami Puji	Henry Van Dyke				Lagu Sion Edisi Lengkap (LSEB)
LSEB_12	12. Nyanyikanlah Kidung Yang Baru	Erik Routey				Lagu Sion Edisi Lengkap (LSEB)
LSEB_13	13. Suci, Suci, Suci	Reginald Heber				Lagu Sion Edisi Lengkap (LSEB)
LSEB_14	14. Jika Kiranya Lidahku	Samuel Medley				Lagu Sion Edisi Lengkap (LSEB)
LSEB_15	15. Aku Senang Menc'Ritakan	Elisabeth Mills				Lagu Sion Edisi Lengkap (LSEB)
LSEB_16	16. Tuhan Bertakhta Di Surga	Oliver Wandell Holmes				Lagu Sion Edisi Lengkap (LSEB)
LSEB_17	17. Tuhan Lindungilah Kami	E. Halstead				Lagu Sion Edisi Lengkap (LSEB)
LSEB_18	18. Pujilah Allah	Henry W. Baker				Lagu Sion Edisi Lengkap (LSEB)
LSEB_19	19. Hati Yesus Penuh	Alice Pugh				Lagu Sion Edisi Lengkap (LSEB)
LSEB_20	20. Kidung Yang Baru	Scotis Psalter				Lagu Sion Edisi Lengkap (LSEB)
